year,sc_gid,sc_point_gid,latitude,longitude,region,class,bin,trans_cap_cost,built_capacity,investment_bool
2022,8360,,39.039272,-108.41655,p33,5,,2132.0273,1.0368000000000002,0
2022,8068,,39.61901,-104.728065,p33,5,,4096.9688,119.86319999999996,1
2022,8605,,38.92872,-104.77772,p34,5,,3559.823,12.52777193136824,0
2022,9614,,38.0721,-102.570206,p34,5,,5029.1655,10.31698864936208,0
2022,8608,,38.880035,-104.7712,p34,5,,5328.7188,6.155239419269678,1
2022,531,,45.591522,-121.11373,p5,3,,1131.2489,4.157179331306992,0
2022,769,,44.279114,-121.10976,p5,3,,3019.8196,10.133124620060793,0
2022,715,,44.621094,-121.17671,p5,3,,6510.3413,13.510832826747723,0
2022,503,,45.68119,-121.47882,p5,3,,7857.986999999999,11.432243161094227,1
2022,768,,44.326145,-121.12987,p5,3,,7900.9854,0.779471124620061,1
2022,551,,45.827877,-119.34431,p5,3,,8023.5605,22.56437970540101,1
2022,765,,44.253525,-121.25785,p5,4,,9217.217,37.8432,0
2022,861,,43.979927,-121.378334,p5,4,,9485.41,3.888,0
2022,800,,44.219315,-121.16369,p5,4,,15843.927,4.147199999999999,0
2022,798,,44.206512,-121.23766,p5,4,,17313.236,0.2591999999999999,0
2022,797,,44.146667,-121.2914,p5,4,,23590.7,11.285169230769274,0
2022,14814,,31.879026,-106.42706,p59,7,,5988.484,5.0,0
2022,1527,,42.182365,-122.62987,p6,4,,645.1009,0.5184000000000001,0
2022,1712,,42.188034,-121.784225,p6,4,,2851.4126,4.381599999999999,0
2022,803,,44.745987,-117.87875,p7,3,,11777.316,2.692731753554502,0
2022,772,,44.79343,-117.89646,p7,3,,11844.818,3.3659146919431278,0
2022,916,,44.22686,-116.97883600000002,p7,3,,102972.23,16.64135355450236,0
2022,4022,,40.394806,-120.52324,p8,5,,53046.69,2.3999999999999986,0
2022,9438,,36.1821,-120.31208,p9,6,,12634.098999999998,0.2541543937708564,0
2022,9834,,35.4988,-120.69145,p9,6,,14603.573,9.657866963292548,0
2022,9792,,35.546326,-120.708725,p9,6,,21117.752,97.84944160177976,0
2022,9595,,36.004414000000004,-120.17831,p9,6,,23141.48,20.586505895439377,0
2022,9596,,35.956863,-120.16129,p9,6,,23286.225,0.2541543937708564,0
2022,9793,,35.606506,-120.66117,p9,6,,24231.508,83.35787675194663,1
2024,314,,47.053204,-120.51775,p1,3,,12552.883999999998,0.5,0
2024,11835,,33.965022999999995,-117.44759,p10,6,,2607.9307,10.59921713369329,0
2024,10148,,35.315983,-118.96942,p10,6,,2981.9246,10.346854820986309,0
2024,11719,,34.050117,-117.54101,p10,6,,3417.8198,22.20788351821452,0
2024,11721,,34.06122,-117.47704,p10,6,,3648.1838,0.7570869381209493,0
2024,11951,,33.84662,-117.5458,p10,6,,4142.2236,13.122840260763123,0
2024,13461,,32.744026,-114.70852,p10,6,,4473.7935,9.085043257451392,0
2024,10085,,35.42331,-118.93656,p10,6,,5035.5347,0.2523623127069831,0
2024,11730,,34.094326,-117.285034,p10,6,,5761.979,6.813782443088544,0
2024,11604,,34.098194,-117.55581,p10,6,,5860.029,7.570869381209493,0
2024,10922,,34.371902,-118.860855,p10,6,,6504.3164,0.2523623127069831,0
2024,11728,,34.035217,-117.334404,p10,6,,7758.694,130.4713156695103,0
2024,11215,,34.286587,-118.4939,p10,6,,7860.028,35.07836146627065,0
